"Sector","Symbol"
"Capital Goods","A"
"Capital Goods","AA"
"Health Care","AAC"
"Technology","AAN"
"Consumer Services","AAP"
"Consumer Services","AAT"
"Energy","AAV"
"Finance","AB"
"Consumer Durables","ABB"
"Health Care","ABBV"
"Health Care","ABC"
"Consumer Non-Durables","ABEV"
"Consumer Durables","ABG"
"Finance","ABM"
"Consumer Services","ABR"
"Consumer Services","ABRN"
,"ABR-PA"
,"ABR-PB"
,"ABR-PC"
"Health Care","ABT"
"Basic Industries","ABX"
"Finance","AC"
"Consumer Services","ACC"
"Consumer Durables","ACCO"
"Basic Industries","ACH"
"Consumer Services","ACM"
"Miscellaneous","ACN"
,"ACP"
"Consumer Services","ACRE"
,"ACV"
"Consumer Services","ADC"
"Consumer Non-Durables","ADM"
"Capital Goods","ADNT"
"Miscellaneous","ADS"
"Public Utilities","ADSW"
,"ADX"
"Finance","AEB"
"Finance","AED"
"Public Utilities","AEE"
"Finance","AEG"
"Finance","AEH"
"Finance","AEK"
"Finance","AEL"
"Basic Industries","AEM"
"Consumer Services","AEO"
"Public Utilities","AEP"
"Technology","AER"
"Basic Industries","AES"
,"AES-PC.CL"
"Health Care","AET"
"Energy","AEUA"
"Finance","AF"
"Finance","AFA"
,"AFB"
,"AFC"
"Finance","AFG"
"Finance","AFGE"
"Finance","AFGH"
"Consumer Non-Durables","AFI"
"Finance","AFL"
,"AF-PC"
"Finance","AFSD"
,"AFSI-PA"
,"AFSI-PB"
,"AFSI-PC"
,"AFSI-PD"
,"AFSI-PE"
,"AFSI-PF"
"Finance","AFSS"
"Finance","AFST"
,"AFT"
,"AFW.CL"
"Basic Industries","AG"
,"AGC"
"Capital Goods","AGCO"
,"AGD"
"Basic Industries","AGI"
"Finance","AGM"
,"AGM.A"
,"AGM-PA"
,"AGM-PB"
,"AGM-PC"
"Health Care","AGN"
,"AGN-PA"
"Finance","AGO"
,"AGO-PB"
,"AGO-PE"
,"AGO-PF"
"Public Utilities","AGR"
"Consumer Non-Durables","AGRO"
"Basic Industries","AGU"
"Basic Industries","AGX"
"Consumer Services","AHC"
"Finance","AHH"
"Finance","AHL"
,"AHL-PB.CL"
,"AHL-PC"
,"AHL-PD"
"Consumer Services","AHP"
,"AHP-PB"
"Consumer Services","AHT"
,"AHT-PA"
,"AHT-PD"
,"AHT-PF"
,"AHT-PG"
"Finance","AI"
,"AIB"
"Finance","AIC"
,"AIF"
"Finance","AIG"
,"AIG.WS"
"Basic Industries","AIN"
,"AI-PB"
"Capital Goods","AIR"
"Consumer Durables","AIT"
"Consumer Services","AIV"
,"AIV-PA"
"Finance","AIW"
,"AIY"
"Finance","AIZ"
"Finance","AJG"
"Capital Goods","AJRD"
"Consumer Services","AJX"
"Consumer Services","AJXA"
,"AKO.A"
,"AKO.B"
,"AKP"
"Consumer Services","AKR"
"Basic Industries","AKS"
"Technology","AL"
"Basic Industries","ALB"
"Energy","ALDW"
"Public Utilities","ALE"
"Finance","ALEX"
"Capital Goods","ALG"
"Energy","ALJ"
"Transportation","ALK"
"Finance","ALL"
"Consumer Services","ALLE"
,"ALL-PA"
,"ALL-PB"
,"ALL-PC"
,"ALL-PD"
,"ALL-PE"
