"Sector","Symbol"
"Health Care","AAAP"
"Transportation","AAL"
"Finance","AAME"
"Technology","AAOI"
"Capital Goods","AAON"
"Consumer Services","AAPC"
"Technology","AAPL"
"Transportation","AAWW"
,"AAXJ"
"Capital Goods","AAXN"
"Consumer Non-Durables","ABAC"
"Capital Goods","ABAX"
"Finance","ABCB"
"Consumer Services","ABCD"
"Consumer Services","ABCO"
,"ABDC"
"Health Care","ABEO"
"Health Care","ABEOW"
"Finance","ABIL"
"Health Care","ABIO"
"Health Care","ABMD"
"Technology","ABTL"
"Finance","ABTX"
"Health Care","ABUS"
"Public Utilities","ABY"
"Health Care","ACAD"
"Finance","ACBI"
"Health Care","ACET"
"Finance","ACFC"
"Finance","ACGL"
"Finance","ACGLP"
"Health Care","ACHC"
"Health Care","ACHN"
"Technology","ACIA"
"Health Care","ACIU"
"Technology","ACIW"
"Technology","ACLS"
"Finance","ACNB"
"Health Care","ACOR"
"Health Care","ACRS"
"Health Care","ACRX"
,"ACSF"
"Health Care","ACST"
"Technology","ACTA"
"Miscellaneous","ACTG"
,"ACTX"
,"ACWI"
,"ACWX"
"Technology","ACXM"
"Health Care","ADAP"
"Technology","ADBE"
"Basic Industries","ADES"
"Health Care","ADHD"
"Technology","ADI"
"Health Care","ADMA"
"Health Care","ADMP"
"Health Care","ADMS"
,"ADOM"
"Technology","ADP"
,"ADRA"
,"ADRD"
,"ADRE"
"Health Care","ADRO"
,"ADRU"
"Technology","ADSK"
"Public Utilities","ADTN"
"Health Care","ADUS"
"Health Care","ADVM"
"Health Care","ADXS"
"Health Care","ADXSW"
"Basic Industries","AEGN"
"Capital Goods","AEHR"
"Capital Goods","AEIS"
"Capital Goods","AEMD"
"Health Care","AERI"
"Energy","AETI"
"Consumer Services","AEY"
"Health Care","AEZS"
"Health Care","AFAM"
"Finance","AFH"
"Finance","AFHBL"
"Health Care","AFMD"
"Finance","AFSI"
"Health Care","AGEN"
"Finance","AGFS"
"Finance","AGFSW"
"Finance","AGII"
"Finance","AGIIL"
"Health Care","AGIO"
"Health Care","AGLE"
"Consumer Services","AGNC"
"Consumer Services","AGNCB"
"Consumer Services","AGNCP"
,"AGND"
"Health Care","AGRX"
"Health Care","AGTC"
"Technology","AGYS"
,"AGZD"
"Energy","AHGP"
"Finance","AHPA"
"Finance","AHPAU"
"Finance","AHPAW"
"Health Care","AHPI"
,"AIA"
"Capital Goods","AIMC"
"Health Care","AIMT"
,"AINV"
"Health Care","AIQ"
"Technology","AIRG"
,"AIRR"
"Transportation","AIRT"
"Miscellaneous","AKAM"
"Health Care","AKAO"
"Health Care","AKBA"
"Health Care","AKER"
"Health Care","AKRX"
"Public Utilities","AKTS"
"Health Care","AKTX"
"Health Care","ALBO"
"Consumer Non-Durables","ALCO"
"Health Care","ALDR"
"Health Care","ALDX"
"Health Care","ALGN"
"Transportation","ALGT"
"Health Care","ALIM"
"Miscellaneous","ALJJ"
"Health Care","ALKS"
"Technology","ALLT"
"Health Care","ALNY"
"Capital Goods","ALOG"
"Technology","ALOT"
"Health Care","ALQA"
"Technology","ALRM"
"Public Utilities","ALSK"
"Health Care","ALT"
,"ALTY"
"Health Care","ALXN"
"Health Care","AMAG"
"Technology","AMAT"
"Technology","AMBA"
"Finance","AMBC"
"Finance","AMBCW"
"Technology","AMCN"
"Consumer Services","AMCX"
"Technology","AMD"
"Health Care","AMDA"
"Health Care","AMED"
"Health Care","AMGN"
"Technology","AMKR"
"Consumer Services","AMMA"
"Finance","AMNB"
"Capital Goods","AMOT"
"Public Utilities","AMOV"
"Health Care","AMPH"
"Finance","AMRB"
"Health Care","AMRI"
"Basic Industries","AMRK"
"Health Care","AMRN"
"Basic Industries","AMRS"
"Consumer Durables","AMSC"
"Finance","AMSF"
"Technology","AMSWA"
"Finance","AMTD"
"Basic Industries","AMTX"
"Basic Industries","AMWD"
"Consumer Services","AMZN"
"Health Care","ANAB"
"Finance","ANAT"
"Finance","ANCB"
"Finance","ANCX"
"Finance","ANDA"
"Finance","ANDAR"
"Finance","ANDAU"
"Finance","ANDAW"
"Consumer Services","ANDE"
"Consumer Services","ANGI"
"Health Care","ANGO"
"Health Care","ANIK"
"Health Care","ANIP"
"Technology","ANSS"
"Health Care","ANTH"
"Technology","ANY"
"Capital Goods","AOBC"
"Technology","AOSL"
"Consumer Services","APDN"
"Consumer Services","APDNW"
"Consumer Services","APEI"
"Health Care","APEN"
"Public Utilities","APLP"
"Capital Goods","APOG"
,"APOP"
,"APOPW"
"Technology","APPF"
"Technology","APPN"
"Miscellaneous","APPS"
"Health Care","APRI"
"Technology","APTI"
"Health Care","APTO"
"Health Care","APVO"
"Basic Industries","APWC"
,"AQB"
"Basic Industries","AQMS"
"Health Care","AQXP"
"Health Care","ARAY"
"Transportation","ARCB"
,"ARCC"
"Consumer Services","ARCI"
"Capital Goods","ARCW"
"Health Care","ARDM"
"Health Care","ARDX"
"Energy","AREX"
"Health Care","ARGS"
"Health Care","ARGX"
"Capital Goods","ARII"
"Technology","ARIS"
"Consumer Services","ARKR"
"Energy","ARLP"
"Health Care","ARLZ"
"Health Care","ARNA"
"Finance","AROW"
"Health Care","ARQL"
"Technology","ARRS"
"Health Care","ARRY"
"Public Utilities","ARTNA"
"Capital Goods","ARTW"
"Miscellaneous","ARTX"
"Health Care","ARWR"
"Finance","ASBB"
"Consumer Services","ASCMA"
,"ASET"
"Finance","ASFI"
"Health Care","ASMB"
"Technology","ASML"
"Consumer Services","ASNA"
"Health Care","ASND"
"Consumer Services","ASPS"
"Finance","ASRV"
"Finance","ASRVP"
"Capital Goods","ASTC"
"Capital Goods","ASTE"
"Technology","ASUR"
"Capital Goods","ASV"
"Technology","ASYS"
"Consumer Services","ATAI"
"Finance","ATAX"
"Health Care","ATEC"
"Miscellaneous","ATHN"
"Health Care","ATHX"
"Finance","ATLC"
"Finance","ATLO"
"Public Utilities","ATNI"
,"ATNX"
"Technology","ATOM"
"Health Care","ATOS"
"Health Care","ATRA"
"Health Care","ATRC"
"Health Care","ATRI"
"Capital Goods","ATRO"
"Health Care","ATRS"
"Transportation","ATSG"
"Technology","ATTU"
"Technology","ATVI"
,"ATXI"
"Finance","AUBN"
"Public Utilities","AUDC"
"Health Care","AUPH"
"Capital Goods","AVAV"
"Health Care","AVDL"
"Health Care","AVEO"
"Technology","AVGO"
"Health Care","AVGR"
"Capital Goods","AVHI"
"Technology","AVID"
"Health Care","AVIR"
"Technology","AVNW"
"Health Care","AVXL"
"Health Care","AVXS"
"Technology","AWRE"
"Finance","AXAR"
"Finance","AXARU"
"Finance","AXARW"
"Energy","AXAS"
"Capital Goods","AXDX"
"Health Care","AXGN"
"Health Care","AXSM"
"Technology","AXTI"
"Technology","AYA"
"Technology","AZPN"
,"AZRX"
"Health Care","BABY"
"Finance","BANF"
"Finance","BANFP"
"Finance","BANR"
,"BANX"
"Health Care","BASI"
"Consumer Services","BATRA"
"Consumer Services","BATRK"
"Consumer Services","BBBY"
,"BBC"
"Consumer Services","BBGI"
,"BBH"
"Technology","BBOX"
,"BBP"
"Consumer Services","BBRG"
"Public Utilities","BBRY"
"Technology","BBSI"
"Finance","BCBP"
"Health Care","BCLI"
"Consumer Services","BCOM"
"Technology","BCOR"
"Technology","BCOV"
"Basic Industries","BCPC"
"Health Care","BCRX"
"Finance","BCTF"
"Consumer Non-Durables","BDE"
"Finance","BDGE"
"Health Care","BDSI"
"Health Care","BEAT"
"Consumer Non-Durables","BEBE"
"Consumer Services","BECN"
"Capital Goods","BELFA"
"Capital Goods","BELFB"
"Finance","BFIN"
,"BFIT"
"Finance","BGCP"
"Consumer Services","BGFV"
"Health Care","BGNE"
"Finance","BHAC"
"Finance","BHACR"
"Finance","BHACU"
"Finance","BHACW"
"Finance","BHBK"
,"BIB"
,"BICK"
"Technology","BIDU"
"Health Care","BIIB"
"Health Care","BIOC"
"Health Care","BIOL"
"Health Care","BIOP"
"Health Care","BIOS"
,"BIS"
"Health Care","BIVV"
"Consumer Services","BJRI"
,"BKCC"
"Energy","BKEP"
"Energy","BKEPP"
"Finance","BKMU"
"Finance","BKSC"
,"BL"
"Capital Goods","BLBD"
"Health Care","BLCM"
"Energy","BLDP"
"Consumer Services","BLDR"
"Health Care","BLFS"
"Technology","BLIN"
"Technology","BLKB"
"Consumer Services","BLMN"
"Finance","BLMT"
"Health Care","BLPH"
"Health Care","BLRX"
"Health Care","BLUE"
"Finance","BLVD"
"Finance","BLVDU"
"Finance","BLVDW"
"Consumer Services","BMCH"
,"BMLA"
,"BMLP"
"Health Care","BMRA"
"Finance","BMRC"
"Health Care","BMRN"
"Finance","BMTC"
"Finance","BNCL"
,"BNDX"
"Technology","BNFT"
"Capital Goods","BNSO"
"Health Care","BNTC"
"Health Care","BNTCW"
"Consumer Services","BOBE"
"Finance","BOCH"
"Finance","BOFI"
"Finance","BOFIL"
"Consumer Services","BOJA"
"Finance","BOKF"
"Finance","BOKFL"
"Health Care","BOLD"
,"BOMN"
"Consumer Services","BONT"
"Capital Goods","BOOM"
"Technology","BOSC"
"Finance","BOTJ"
,"BOTZ"
"Finance","BPFH"
"Finance","BPFHP"
"Finance","BPFHW"
"Health Care","BPMC"
"Finance","BPOP"
"Finance","BPOPM"
"Finance","BPOPN"
"Health Care","BPTH"
"Technology","BRCD"
"Consumer Non-Durables","BREW"
"Consumer Non-Durables","BRID"
"Finance","BRKL"
"Capital Goods","BRKR"
"Technology","BRKS"
"Consumer Durables","BSET"
"Finance","BSF"
"Technology","BSFT"
"Health Care","BSPM"
"Miscellaneous","BSQR"
"Finance","BSRR"
"Health Care","BSTC"
"Health Care","BSTG"
,"BTEC"
"Consumer Non-Durables","BUFF"
"Consumer Non-Durables","BUR"
"Finance","BUSE"
"Technology","BV"
"Technology","BVSN"
"Health Care","BVXV"
"Health Care","BVXVW"
"Capital Goods","BWEN"
"Finance","BWFG"
"Finance","BWINA"
"Finance","BWINB"
"Consumer Services","BWLD"
"Finance","BYBK"
"Finance","BYFC"
"Health Care","BYSI"
"Consumer Services","BZUN"
"Technology","CA"
"Capital Goods","CAAS"
"Finance","CAC"
"Finance","CACC"
,"CACG"
"Consumer Services","CACQ"
"Basic Industries","CADC"
"Public Utilities","CAFD"
"Consumer Services","CAKE"
"Health Care","CALA"
"Technology","CALD"
"Consumer Services","CALI"
"Public Utilities","CALL"
"Consumer Non-Durables","CALM"
"Technology","CAMP"
"Capital Goods","CAMT"
"Health Care","CAPR"
"Consumer Services","CAR"
"Health Care","CARA"
"Technology","CARB"
"Finance","CARO"
"Finance","CART"
"Finance","CARV"
,"CARZ"
"Health Care","CASC"
"Finance","CASH"
"Health Care","CASI"
"Health Care","CASM"
"Miscellaneous","CASS"
"Consumer Durables","CASY"
"Health Care","CATB"
,"CATH"
"Miscellaneous","CATM"
"Health Care","CATS"
"Finance","CATY"
"Finance","CATYW"
"Technology","CAVM"
"Miscellaneous","CBAK"
"Finance","CBAN"
"Health Care","CBAY"
"Finance","CBF"
"Finance","CBFV"
"Health Care","CBIO"
"Health Care","CBLI"
"Health Care","CBMG"
"Health Care","CBMX"
"Health Care","CBMXW"
"Finance","CBOE"
"Health Care","CBPO"
"Consumer Services","CBRL"
"Finance","CBSH"
"Finance","CBSHP"
"Finance","CCBG"
"Capital Goods","CCCL"
"Finance","CCCR"
,"CCD"
"Technology","CCIH"
"Energy","CCLP"
"Technology","CCMP"
"Finance","CCN"
"Finance","CCNE"
"Consumer Services","CCOI"
"Miscellaneous","CCRC"
"Technology","CCRN"
"Technology","CCUR"
"Health Care","CCXI"
,"CDC"
"Energy","CDEV"
"Miscellaneous","CDK"
,"CDL"
"Health Care","CDNA"
"Technology","CDNS"
"Consumer Services","CDOR"
"Capital Goods","CDTI"
"Health Care","CDTX"
"Consumer Services","CDW"
"Consumer Durables","CDXC"
"Basic Industries","CDXS"
"Public Utilities","CDZI"
"Capital Goods","CECE"
"Consumer Services","CECO"
"Health Care","CELG"
"Health Care","CELGZ"
"Consumer Non-Durables","CELH"
"Health Care","CEMI"
"Health Care","CEMP"
"Consumer Durables","CENT"
"Consumer Durables","CENTA"
"Basic Industries","CENX"
"Health Care","CERC"
"Health Care","CERCW"
"Technology","CERN"
"Health Care","CERS"
"Health Care","CERU"
"Consumer Services","CETV"
"Capital Goods","CETX"
"Capital Goods","CETXP"
"Capital Goods","CETXW"
"Technology","CEVA"
,"CEZ"
,"CFA"
,"CFBI"
"Finance","CFBK"
"Finance","CFCO"
"Finance","CFCOU"
"Finance","CFCOW"
"Finance","CFFI"
"Finance","CFFN"
"Health Care","CFMS"
"Finance","CFNB"
,"CFO"
"Health Care","CFRX"
"Finance","CG"
,"CGBD"
"Health Care","CGEN"
"Health Care","CGIX"
"Health Care","CGNT"
"Capital Goods","CGNX"
,"CGO"
"Capital Goods","CHCI"
"Finance","CHCO"
"Consumer Services","CHDN"
"Consumer Non-Durables","CHEF"
"Health Care","CHEK"
"Health Care","CHEKW"
"Finance","CHFC"
"Finance","CHFN"
"Health Care","CHFS"
,"CHI"
"Consumer Non-Durables","CHKE"
"Technology","CHKP"
"Health Care","CHMA"
"Finance","CHMG"
"Basic Industries","CHNR"
"Health Care","CHRS"
"Transportation","CHRW"
"Consumer Services","CHSCL"
"Consumer Services","CHSCM"
"Consumer Services","CHSCN"
"Consumer Services","CHSCO"
"Consumer Services","CHSCP"
"Consumer Services","CHTR"
"Technology","CHUBA"
"Technology","CHUBK"
"Consumer Services","CHUY"
,"CHW"
,"CHY"
,"CIBR"
,"CID"
"Consumer Services","CIDM"
"Finance","CIGI"
,"CIL"
"Finance","CINF"
"Finance","CIVB"
"Finance","CIVBP"
,"CIZ"
"Finance","CIZN"
"Consumer Durables","CJJD"
"Finance","CLAC"
"Finance","CLACU"
"Finance","CLACW"
"Health Care","CLBS"
"Miscellaneous","CLCT"
"Finance","CLDC"
"Health Care","CLDX"
"Public Utilities","CLFD"
"Capital Goods","CLIR"
"Capital Goods","CLIRW"
"Health Care","CLLS"
"Energy","CLMT"
"Public Utilities","CLNE"
